id,Nombre,Recinto,Fecha de incio,Fecha de termino,Artista,Productora
1,Rio Concert,Vivo Rio,26-02-2016,28-02-2016,Francisca Valenzuela,Agencia 360
2,Mil Rosas,Mercedes-Benz Arena,29-11-2022,29-11-2022,La Oreja de Van Gogh,Eventveranstalter Hamburg
3,Bachata en vivo,Irving Plaza,11-05-2020,11-05-2020,Prince Royce,The Imagos
4,Como si no importara,Arena Ludwingsburg,23-01-2021,23-01-2021,Emilia,fullevent.de
5,Epic Show,Freiheitshalle,04-03-2022,04-03-2022,The Martinez Brothers,B+D Events
6,Niño Blessi,SOF Q8 Toinha Brasil,09-08-2019,09-08-2019,DrefQuila,Urban Music
7,BZRP Tour,Pabellon Max Schmeling,05-09-2020,05-09-2020, Cazzu,Nachhaltige Events
8,Super Bass Tour,Warehouse Live,04-02-2022,04-02-2022,Nicki Minaj,The Imagos
9,Quedate,Mercedes-Benz Arena,19-01-2022,19-01-2022,Quevedo,Eventveranstalter Hamburg
10,La Gasolina,Estadio Santa Laura,16-12-2016,18-12-2016,Daddy Yankee,Global producciones spa
11,R3hab live show,Velodromo de Berlin,19-09-2022,19-09-2022,R3hab,KahnEvents GmbH
12,CLARITY,Estadio Nacional,17-08-2018,19-08-2018,Kesha,DG Medios y espectaculos s.a.
13,Cerca de ti,Teatro Cariola,28-01-2022,28-01-2022,Tiago PZK,Club providencia
14,Say you wont let go,Antel Arena,02-08-2022,02-08-2022,James Arthur,PROSPERO PRODUCCIONES
15,Twelve Carat Tour,The Anthem,29-01-2018,29-01-2018,Post Malone,AEG
16,Belinda Comeback,E-Werk,30-01-2016,30-01-2016,Belinda,Europages
17,Anastasia,Salitre Magico,12-07-2019,12-07-2019,Cami,Ye & Ca Producciones 
18,AgendaMusic,Sala La Rivera,20-06-2018,22-06-2018,Ozuna,LetsGo Company
19,Disney Concert,Estadio Unico Diego Armando Maradona,15-03-2016,18-03-2016,Olivia Rodrigo,ATOMIC FILMS
20,WAP,E-Werk,03-06-2016,03-06-2016,Cardi B,MGC
21,Passionfruit,Explanada Ciudad Empresarial,13-04-2020,13-04-2020,Drake,Reverb - productora de eventos
22,Fourplan Event,Olympiahalle,16-08-2016,20-08-2016,Beele,Yataco
23,Epic Show,Arena TSB Bank ,05-06-2018,05-06-2018,The Martinez Brothers,Queenstown Event Company
24,Get Jacked,Carrer Baix Vinalopo,14-02-2021,14-02-2021,Afrojack,Producciones Baltimore
25,DJs Apoyando a Chile,Teatro Teletón,12-11-2016,15-11-2016,Afrojack,Andeschimp spa
26,Voyage,Studio The Venue,29-05-2020,31-05-2020,ABBA,Leading Event Agency
