id_evento,Nombre,Recinto,Fecha_incio,Fecha_termino
1,Rio Concert,Vivo Rio,2016-02-26,2016-02-28
2,Mil Rosas,Mercedes-Benz Arena,2022-11-29,2022-11-29
3,Bachata en vivo,Irving Plaza,2020-05-11,2020-05-11
4,Como si no importara,Arena Ludwingsburg,2021-01-23,2021-01-23
5,Epic Show,Freiheitshalle,2022-03-04,2022-03-04
6,Nino Blessi,SOF Q8 Toinha Brasil,2019-08-09,2019-08-09
7,BZRP Tour,Pabellon Max Schmeling,2020-09-05,2020-09-05
8,Super Bass Tour,Warehouse Live,2022-02-04,2022-02-04
9,Quedate,Mercedes-Benz Arena,2022-01-19,2022-01-19
10,La Gasolina,Estadio Santa Laura,2016-12-16,2016-12-18
11,R3hab live show,Velodromo de Berlin,2022-09-19,2022-09-19
12,CLARITY,Estadio Nacional,2018-08-17,2018-08-19
13,Cerca de ti,Teatro Cariola,2022-01-28,2022-01-28
14,Say you wont let go,Antel Arena,2022-08-02,2022-08-02
15,Twelve Carat Tour,The Anthem,2018-01-29,2018-01-29
16,Belinda Comeback,E-Werk,2016-01-30,2016-01-30
17,Anastasia,Salitre Magico,2019-07-12,2019-07-12
18,AgendaMusic,Sala La Rivera,2018-06-20,2018-06-22
19,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18
20,WAP,E-Werk,2016-06-03,2016-06-03
21,Passionfruit,Explanada Ciudad Empresarial,2020-04-13,2020-04-13
22,Fourplan Event,Olympiahalle,2016-08-16,2016-08-20
23,Epic Show,Arena TSB Bank ,2018-06-05,2018-06-05
24,Get Jacked,Carrer Baix Vinalopo,2021-02-14,2021-02-14
25,DJs Apoyando a Chile,Teatro Teleton,2016-11-12,2016-11-15
26,Voyage,Studio The Venue,2020-05-29,2020-05-31
27,One Night Only,Movistar Arena,2019-05-04,2019-05-04
28,DISCOTEKA,Mercedes-Benz Arena,2016-04-10,2016-04-10
29,Nino Blessi,Bikini Barcelona,2020-04-19,2020-04-19
30,Bangerz,Don Haskins Center,2018-08-12,2018-08-12
31,La Criminal,Club Subterraneo ,2019-06-11,2019-06-11
32,Mami Tour,Columbianhalle,2022-12-19,2022-12-19
33,Map of the Soul,Shubert Theatre,2020-06-21,2020-06-23
34,Twelve Carat Tour,Teatro Mayor ,2022-05-29,2022-05-29
35,A7S Show,Carrer Baix Vinalopo,2019-06-01,2019-06-01
36,Nobody like you,Palau Sant Jordi,2022-07-26,2022-07-26
37,How do you sleep,Teatro Municipal de Santiago,2022-09-14,2022-09-14
38,Lotto,Estadio Nacional,2021-10-10,2021-10-10
39,Phoenix Show,Espacio Unimed,2016-08-01,2016-08-01
40,Myrad,Teatro Municipal de Santiago,2016-03-05,2016-03-05
41,Sub Focus,Moon Valencia,2016-02-15,2016-02-20
42,Young Dumb and Broke,Teatro Municipal de Santiago,2022-09-16,2022-09-16
43,S.U.N.O,The Anthem,2016-06-16,2016-06-16
44,EQILIBRIO,Festhalle,2021-08-14,2021-08-14
45,DJ Snake,Espacio Unimed,2016-02-15,2016-02-15
46,The After Hours,WIZink Center,2021-04-11,2021-04-11
47,Sin Despertar,Warehouse Live,2020-02-26,2020-02-26
48,El negrito ojos claros,Hipodromo de Palermo,2017-08-24,2017-08-24
49,Papi Juancho,Cirque Royal,2021-07-16,2021-07-16
50,Sueno Stereo,Shubert Theatre,2020-02-08,2020-02-08
51,One Vision of Queen,Teatro Gran Rex,2020-07-24,2020-07-27
52,Perfect All Experimenters,Aotea Centre,2016-07-24,2016-07-24
53,The Joshua Tree,Luna Park,2020-02-27,2020-02-27
54,Mami Tour,Thunder Bay,2022-09-07,2022-09-07
55,Concha Acustica UC 2022,Club Subterraneo ,2022-10-24,2022-10-28
56,The E.N.D World,Air Canada Centre,2021-12-05,2021-12-05
57,Step by Step,City Hall el Rodeo,2016-03-28,2016-03-28
58,LOS APARATOS,Tarpeian Precinct Lawn,2018-12-08,2018-12-08
59,Mil Rosas,Leons Centre,2018-01-18,2018-01-18
60,La leyenda,UBS Arena,2018-02-03,2018-02-03
61,Caminemos de la Mano,Quinta Vergara,2016-07-21,2016-07-21
62,Anastasia,Pabellon Fuente de San Luis,2020-04-07,2020-04-07
63,Desesperados,Arena TSB Bank ,2019-09-24,2019-09-24
64,Real Scene,Phoenix Concert Theatre,2021-11-09,2021-11-09
65,Entre Nosotros,Sala La Rivera,2020-12-21,2020-12-21
66,Me Veras Volver,Palau Sant Jordi,2017-06-09,2017-06-11
67,Fine Line,Estadio Rose Bowl,2022-11-08,2022-11-10
68,The After Hours,Teatro Caupolican,2018-08-05,2018-08-05
69,Heartbreak Weather,SALA SANTANA,2020-06-16,2020-06-16
70,Oh How,La Madeleine,2021-10-09,2021-10-09
